dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,21.901415094339605,7.9732075471698085,2018,8
Friday,1,12.033719008264463,5.1966942148760324,2018,8
Friday,2,9.401487603305783,4.062231404958678,2018,8
Friday,3,10.051570247933888,4.337024793388433,2018,8
Friday,4,10.82322314049587,4.813140495867767,2018,8
Friday,5,11.344146341463416,5.260894308943088,2018,8
Friday,6,14.950588235294116,6.2121008403361335,2018,8
Friday,7,12.267815126050426,5.24,2018,8
Friday,8,10.420769230769235,4.417307692307692,2018,8
Friday,9,8.8679746835443,4.682405063291139,2018,8
Friday,10,6.125394736842104,2.60828947368421,2018,8
Friday,11,5.674374999999999,2.659479166666667,2018,8
Friday,12,6.172765957446811,2.807978723404255,2018,8
Friday,13,5.394270833333337,2.2091666666666643,2018,8
Friday,14,6.400898876404494,2.4321348314606737,2018,8
Friday,15,8.320499999999997,2.615875,2018,8
Friday,16,9.927108433734933,3.2174698795180703,2018,8
Friday,17,8.951265822784805,2.784303797468354,2018,8
Friday,18,8.434875,2.7188750000000015,2018,8
Friday,19,7.17827160493827,2.4395061728395064,2018,8
Friday,20,7.195131578947369,2.460394736842106,2018,8
Friday,21,8.836329113924046,3.193164556962026,2018,8
Friday,22,8.286904761904761,3.1004761904761904,2018,8
Friday,23,8.923703703703701,3.685679012345679,2018,8
Monday,0,14.199062500000002,7.756458333333332,2018,8
Monday,1,12.557755102040817,6.6248979591836745,2018,8
Monday,2,13.041145833333331,7.8134375,2018,8
Monday,3,18.19547368421053,11.197473684210527,2018,8
Monday,4,18.03427083333334,11.537083333333335,2018,8
Monday,5,18.56278350515464,11.131237113402065,2018,8
Monday,6,19.15154639175258,12.013092783505154,2018,8
Monday,7,13.148,8.67757894736842,2018,8
Monday,8,6.911382978723404,4.368510638297872,2018,8
Monday,9,6.054597701149425,3.987011494252873,2018,8
Monday,10,7.480537634408601,4.968709677419354,2018,8
Monday,11,6.338297872340425,4.3395744680851065,2018,8
Monday,12,6.622395833333333,4.429374999999999,2018,8
Monday,13,4.636082474226805,2.7863917525773187,2018,8
Monday,14,3.943437499999998,2.350729166666667,2018,8
Monday,15,4.086979166666666,2.2371875,2018,8
Monday,16,3.934329896907215,2.2499999999999996,2018,8
Monday,17,4.4353608247422684,2.227628865979381,2018,8
Monday,18,4.556842105263159,2.4422105263157885,2018,8
Monday,19,5.110215053763439,2.5749462365591405,2018,8
Monday,20,4.664639175257733,2.4747422680412368,2018,8
Monday,21,4.975816326530612,2.618673469387755,2018,8
Monday,22,5.363829787234042,2.85531914893617,2018,8
Monday,23,5.138842105263158,2.914210526315789,2018,8
Saturday,0,8.330129870129872,3.13025974025974,2018,8
Saturday,1,8.0538961038961,3.049610389610388,2018,8
Saturday,2,7.427123287671233,3.182465753424658,2018,8
Saturday,3,8.011486486486485,3.369324324324323,2018,8
Saturday,4,10.95293333333333,3.992933333333336,2018,8
Saturday,5,10.786493506493507,4.159999999999998,2018,8
Saturday,6,11.356103896103892,4.714025974025976,2018,8
Saturday,7,10.425824175824173,4.669560439560438,2018,8
Saturday,8,9.87741935483871,4.793548387096775,2018,8
Saturday,9,7.570111111111113,3.9346666666666654,2018,8
Saturday,10,6.664021739130434,3.51728260869565,2018,8
Saturday,11,6.381555555555555,3.0731111111111113,2018,8
Saturday,12,4.941505376344088,2.4444086021505367,2018,8
Saturday,13,4.7667816091954025,2.3036781609195396,2018,8
Saturday,14,5.2713829787234046,2.6375531914893617,2018,8
Saturday,15,5.199333333333334,2.5644444444444443,2018,8
Saturday,16,5.485698924731182,2.685591397849463,2018,8
Saturday,17,6.97505263157895,3.6852631578947372,2018,8
Saturday,18,7.4818085106383,3.6406382978723397,2018,8
Saturday,19,11.152291666666665,6.382083333333331,2018,8
Saturday,20,7.78326315789474,4.517263157894739,2018,8
Saturday,21,8.47147368421053,4.856315789473684,2018,8
Saturday,22,10.546516853932584,6.479213483146066,2018,8
Saturday,23,10.988586956521738,6.8142391304347845,2018,8
Sunday,0,10.068105263157895,5.073473684210526,2018,8
Sunday,1,10.393473684210527,5.005368421052631,2018,8
Sunday,2,9.21880434782609,4.720978260869565,2018,8
Sunday,3,9.069263157894737,5.100315789473682,2018,8
Sunday,4,8.527282608695652,4.782934782608696,2018,8
Sunday,5,8.99483870967742,5.016989247311828,2018,8
Sunday,6,7.410624999999999,4.255937500000001,2018,8
Sunday,7,5.81223404255319,3.465744680851063,2018,8
Sunday,8,5.974255319148933,3.04531914893617,2018,8
Sunday,9,7.055729166666667,3.0623958333333334,2018,8
Sunday,10,6.802282608695654,3.100978260869566,2018,8
Sunday,11,5.527052631578947,2.571368421052632,2018,8
Sunday,12,5.047446808510639,2.3902127659574464,2018,8
Sunday,13,3.577684210526317,2.0343157894736845,2018,8
Sunday,14,4.2893617021276595,2.2745744680851074,2018,8
Sunday,15,5.036185567010308,2.549072164948455,2018,8
Sunday,16,9.055051546391756,3.7544329896907205,2018,8
Sunday,17,9.331979166666665,3.8179166666666653,2018,8
Sunday,18,9.468947368421057,3.998,2018,8
Sunday,19,10.656842105263156,4.646315789473683,2018,8
Sunday,20,11.973473684210532,5.161684210526319,2018,8
Sunday,21,13.250515463917525,6.2680412371133984,2018,8
Sunday,22,13.838124999999993,6.3703125,2018,8
Sunday,23,14.73021505376344,7.154193548387096,2018,8
Thursday,0,5.9450847457627125,2.6088135593220327,2018,8
Thursday,1,6.264297520661156,2.7700826446281,2018,8
Thursday,2,6.916440677966102,3.06635593220339,2018,8
Thursday,3,6.092833333333335,2.7175833333333332,2018,8
Thursday,4,5.846475409836066,2.5431147540983607,2018,8
Thursday,5,7.7546086956521725,3.031478260869566,2018,8
Thursday,6,8.371304347826085,3.4533913043478264,2018,8
Thursday,7,10.575126050420167,3.7853781512605025,2018,8
Thursday,8,23.339561403508785,4.4488596491228085,2018,8
Thursday,9,8.023130434782605,2.556608695652175,2018,8
Thursday,10,8.243529411764708,2.526806722689076,2018,8
Thursday,11,6.888474576271186,2.5425423728813557,2018,8
Thursday,12,12.772950819672133,5.427131147540983,2018,8
Thursday,13,6.337499999999998,2.187416666666667,2018,8
Thursday,14,6.2,2.1984033613445377,2018,8
Thursday,15,5.737083333333335,2.180250000000001,2018,8
Thursday,16,5.766554621848738,2.3047899159663867,2018,8
Thursday,17,7.71550847457627,3.340677966101696,2018,8
Thursday,18,6.7584166666666645,2.558333333333332,2018,8
Thursday,19,8.335327868852461,3.076065573770491,2018,8
Thursday,20,12.878666666666666,4.700166666666665,2018,8
Thursday,21,13.45690265486726,4.886017699115042,2018,8
Thursday,22,13.14428571428572,5.017523809523807,2018,8
Thursday,23,13.1480487804878,5.7753658536585375,2018,8
Tuesday,0,6.069787234042552,3.742234042553192,2018,8
Tuesday,1,8.419894736842107,5.825578947368419,2018,8
