dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,22.692989690721646,10.032164948453609,2018,3
Friday,1,21.56959183673469,9.824183673469387,2018,3
Friday,2,17.940206185567007,8.190618556701029,2018,3
Friday,3,18.39121212121212,8.549898989898988,2018,3
Friday,4,21.6860824742268,9.634536082474229,2018,3
Friday,5,31.030303030303024,11.081414141414143,2018,3
Friday,6,31.926701030927834,11.186185567010313,2018,3
Friday,7,33.28989795918367,11.629081632653062,2018,3
Friday,8,32.02938144329898,11.39154639175258,2018,3
Friday,9,31.253232323232325,11.3810101010101,2018,3
Friday,10,29.80958762886598,11.45237113402062,2018,3
Friday,11,29.165567010309278,11.426804123711344,2018,3
Friday,12,29.343838383838364,12.003434343434344,2018,3
Friday,13,27.815604395604392,11.726263736263737,2018,3
Friday,14,30.94927835051546,14.503814432989689,2018,3
Friday,15,32.850408163265286,15.98561224489795,2018,3
Friday,16,33.95484210526316,16.318947368421053,2018,3
Friday,17,35.873099999999994,16.5251,2018,3
Friday,18,39.81635416666667,18.85041666666666,2018,3
Friday,19,47.40029999999999,22.602800000000002,2018,3
Friday,20,52.92708333333335,25.300520833333323,2018,3
Friday,21,53.493877551020404,25.281734693877556,2018,3
Friday,22,48.38785714285716,22.784795918367344,2018,3
Friday,23,55.91865979381442,24.59824742268041,2018,3
Monday,0,16.36142857142857,8.32285714285714,2018,3
Monday,1,16.426082474226803,7.998659793814433,2018,3
Monday,2,14.499191919191917,7.2165656565656535,2018,3
Monday,3,14.287216494845367,6.402989690721649,2018,3
Monday,4,15.643939393939394,6.963737373737375,2018,3
Monday,5,14.83226804123711,7.155154639175258,2018,3
Monday,6,18.79781250000001,8.06197916666666,2018,3
Monday,7,26.327407407407414,12.247283950617282,2018,3
Monday,8,15.874285714285715,7.557857142857143,2018,3
Monday,9,13.261546391752582,6.107422680412371,2018,3
Monday,10,11.275454545454547,5.3548484848484845,2018,3
Monday,11,8.102371134020617,3.6894845360824737,2018,3
Monday,12,7.496777777777777,3.2554444444444437,2018,3
Monday,13,7.000404040404046,3.157878787878787,2018,3
Monday,14,6.726413043478263,3.3640217391304343,2018,3
Monday,15,6.667959183673466,3.587755102040815,2018,3
Monday,16,6.922653061224488,3.6470408163265313,2018,3
Monday,17,6.615670103092783,3.527422680412372,2018,3
Monday,18,9.671134020618556,5.391958762886599,2018,3
Monday,19,12.395102040816322,7.078163265306122,2018,3
Monday,20,14.371530612244898,8.429897959183679,2018,3
Monday,21,15.161237113402063,8.545360824742266,2018,3
Monday,22,14.940102040816328,8.351326530612242,2018,3
Monday,23,16.18458333333333,9.140312499999999,2018,3
Saturday,0,52.718144329896894,23.08649484536083,2018,3
Saturday,1,60.87252631578946,27.116947368421048,2018,3
Saturday,2,60.90244897959183,26.43030612244898,2018,3
Saturday,3,50.438265306122446,21.092346938775517,2018,3
Saturday,4,54.83291666666667,22.485312499999996,2018,3
Saturday,5,56.05494117647058,21.798705882352944,2018,3
Saturday,6,51.71021739130435,20.315108695652174,2018,3
Saturday,7,46.87795918367347,18.806428571428572,2018,3
Saturday,8,42.78760416666666,18.304895833333337,2018,3
Saturday,9,41.792142857142856,17.91204081632653,2018,3
