dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,8.700947368421051,3.3801052631578954,2018,9
Friday,1,7.149795918367344,2.7983673469387758,2018,9
Friday,2,5.566494845360826,2.087835051546391,2018,9
Friday,3,4.868541666666666,1.7872916666666672,2018,9
Friday,4,5.5504081632653035,2.5148979591836738,2018,9
Friday,5,6.491473684210525,3.1763157894736853,2018,9
Friday,6,6.990729166666665,3.070625000000002,2018,9
Friday,7,7.32755102040816,2.8630612244897957,2018,9
Friday,8,6.32826530612245,2.4175510204081645,2018,9
Friday,9,5.534479166666667,1.8767708333333333,2018,9
Friday,10,6.636489361702126,2.0555319148936166,2018,9
Friday,11,7.484795918367347,2.1920408163265304,2018,9
Friday,12,7.590927835051549,2.2145360824742273,2018,9
Friday,13,7.638333333333331,2.1953125000000004,2018,9
Friday,14,6.552551020408162,2.097755102040817,2018,9
Friday,15,6.176804123711339,2.0222680412371137,2018,9
Friday,16,7.285208333333331,2.1443750000000006,2018,9
Friday,17,8.556041666666667,2.4044791666666656,2018,9
Friday,18,8.988041237113402,2.7514432989690727,2018,9
Friday,19,10.137187499999998,3.2377083333333334,2018,9
Friday,20,11.284791666666663,3.894374999999999,2018,9
Friday,21,15.754948453608243,6.3462886597938155,2018,9
Friday,22,18.16343434343435,7.868989898989899,2018,9
Friday,23,16.379583333333333,7.95604166666667,2018,9
Monday,0,10.54265306122449,3.200204081632653,2018,9
Monday,1,10.744791666666666,2.9287499999999995,2018,9
Monday,2,9.023877551020412,2.486938775510205,2018,9
Monday,3,9.270000000000001,2.674285714285715,2018,9
Monday,4,9.859148936170214,2.7629787234042564,2018,9
Monday,5,10.813061224489797,3.150816326530611,2018,9
Monday,6,11.929807692307692,5.325384615384616,2018,9
Monday,7,10.58115942028986,4.277246376811593,2018,9
Monday,8,10.495555555555555,3.658888888888889,2018,9
Monday,9,33.79633802816901,5.3295774647887315,2018,9
Monday,10,10.279305555555553,3.125694444444445,2018,9
Monday,11,8.61125,2.706388888888889,2018,9
Monday,12,8.054444444444446,2.5790277777777777,2018,9
Monday,13,7.271805555555555,2.455138888888888,2018,9
Monday,14,6.818356164383565,2.3173972602739727,2018,9
Monday,15,6.674929577464788,2.329718309859155,2018,9
Monday,16,6.7713888888888905,2.665694444444444,2018,9
Monday,17,7.057285714285713,2.5611428571428574,2018,9
Monday,18,6.40397260273973,2.7635616438356156,2018,9
Monday,19,9.225714285714286,5.002285714285712,2018,9
Monday,20,10.621780821917804,5.834931506849314,2018,9
Monday,21,11.837428571428571,6.856714285714287,2018,9
Monday,22,20.62041666666666,11.641805555555553,2018,9
Monday,23,14.573142857142857,7.309857142857143,2018,9
Saturday,0,13.720421052631576,6.011684210526316,2018,9
Saturday,1,10.895612244897954,4.545306122448979,2018,9
Saturday,2,9.313956043956049,3.885934065934066,2018,9
Saturday,3,11.401527777777774,4.436527777777779,2018,9
Saturday,4,10.077499999999999,4.030000000000001,2018,9
Saturday,5,9.690612244897961,4.037244897959185,2018,9
Saturday,6,10.407291666666666,4.642916666666666,2018,9
Saturday,7,10.841808510638298,4.159255319148935,2018,9
Saturday,8,10.769042553191486,3.935425531914896,2018,9
Saturday,9,10.875000000000002,4.007021276595743,2018,9
Saturday,10,9.313437499999997,3.1190625,2018,9
Saturday,11,7.614062499999997,2.727812499999999,2018,9
Saturday,12,6.956249999999998,2.277812499999999,2018,9
Saturday,13,6.12918367346939,2.3362244897959172,2018,9
Saturday,14,5.288541666666668,2.0765625,2018,9
Saturday,15,6.06483870967742,2.0582795698924725,2018,9
Saturday,16,6.82739583333333,2.5795833333333333,2018,9
Saturday,17,6.514479166666667,2.6037500000000007,2018,9
Saturday,18,8.411770833333335,3.9425000000000012,2018,9
Saturday,19,12.600736842105265,8.14147368421053,2018,9
Saturday,20,19.747021276595746,12.419042553191485,2018,9
Saturday,21,24.86989583333334,14.033645833333344,2018,9
Saturday,22,24.43969072164948,16.694845360824743,2018,9
Saturday,23,23.189587628865972,16.4378350515464,2018,9
Sunday,0,20.42845360824742,14.420309278350508,2018,9
Sunday,1,18.80229166666667,12.516875000000006,2018,9
Sunday,2,18.1359375,11.141666666666664,2018,9
Sunday,3,22.186288659793817,13.097525773195873,2018,9
Sunday,4,25.08536082474226,14.390927835051542,2018,9
Sunday,5,16.396874999999998,9.44322916666667,2018,9
Sunday,6,11.957872340425537,6.317872340425532,2018,9
Sunday,7,9.907373737373735,5.082525252525254,2018,9
Sunday,8,9.19185567010309,3.373402061855671,2018,9
Sunday,9,8.870860215053765,2.763763440860215,2018,9
Sunday,10,7.684408602150539,2.4477419354838705,2018,9
Sunday,11,7.098390804597701,2.3103448275862064,2018,9
Sunday,12,6.675434782608698,2.3349999999999995,2018,9
Sunday,13,6.110851063829788,2.3488297872340436,2018,9
Sunday,14,7.880416666666665,2.7303124999999997,2018,9
